city,longitude,latitude
"Bronx,Allerton/Pelham Gardens",-71.21662,42.439182
"Bronx,Bedford Park",138.570014,-35.023394
"Bronx,Belmont",-73.860478,40.849285
"Bronx,Bronx Park",-70.786164,19.481993
"Bronx,Bronxdale",-73.860478,40.849285
"Bronx,City Island",-73.786508,40.847801
"Bronx,Claremont/Bathgate",-3.636954,55.904036
"Bronx,Co-Op City",-73.874979,40.853551
"Bronx,Country Club",-73.860478,40.849285
"Bronx,Crotona Park",-73.888875,40.837643
"Bronx,Crotona Park East",-73.923816,40.826275
"Bronx,East Concourse/Concourse Village",-73.918778,40.828049
"Bronx,East Tremont",-64.90909,44.95714
"Bronx,Eastchester",-73.874979,40.853551
"Bronx,Fordham South",-73.860478,40.849285
"Bronx,Highbridge",-73.927322,40.837276
"Bronx,Hunts Point",-73.883356,40.810704
"Bronx,Kingsbridge Heights",-73.89823,40.86986
"Bronx,Longwood",-73.860478,40.849285
"Bronx,Melrose South",-73.860478,40.849285
"Bronx,Morrisania/Melrose",-122.115347,47.688678
"Bronx,Mott Haven/Port Morris",-73.998325,40.715668
"Bronx,Mount Hope",-74.510308,41.463626
"Bronx,Norwood",-73.874979,40.853551
"Bronx,Parkchester",-84.93326,32.4557
"Bronx,Pelham Bay",-73.860478,40.849285
"Bronx,Pelham Bay Park",-93.200364,44.95381
"Bronx,Pelham Parkway",-73.855463,40.858858
"Bronx,Riverdale/North Riverdale/Fieldston",-70.675826,42.09003
"Bronx,Schuylerville/Edgewater Park",-73.860478,40.849285
"Bronx,Soundview/Bruckner",-73.860478,40.849285
"Bronx,Soundview/Castle Hill",-73.855881,40.821473
"Bronx,Spuyten Duyvil/Kingsbridge",-73.91736,40.88121
"Bronx,University Heights/Morris Heights",-73.91986,40.84982
"Bronx,Van Cortlandt Park",-73.923816,40.826275
"Bronx,Van Cortlandt Village",-73.892203,40.88908
"Bronx,Van Nest/Morris Park",-73.856816,40.848027
"Bronx,West Concourse",5.903485,52.964994
"Bronx,West Farms/Bronx River",-98.967364,38.217956
"Bronx,Westchester Village/Unionport",-83.254615,42.540454
"Bronx,Williamsbridge/Olinville",-73.860478,40.849285
"Bronx,Woodlawn/Wakefield",-73.860478,40.849285
"Brooklyn,Bath Beach",-74.002693,40.604196
"Brooklyn,Bay Ridge",-73.956582,40.652256
"Brooklyn,Bedford",-81.751846,41.433531
"Brooklyn,Bensonhurst East",-73.956582,40.652256
"Brooklyn,Bensonhurst West",-73.956582,40.652256
"Brooklyn,Boerum Hill",-73.985802,40.687149
"Brooklyn,Borough Park",0.239741,52.016984
"Brooklyn,Brighton Beach",-75.673982,45.397188
"Brooklyn,Brooklyn Heights",-76.60219,39.23039
"Brooklyn,Brooklyn Navy Yard",-73.973383,40.702954
"Brooklyn,Brownsville",-80.861435,39.637949
"Brooklyn,Bushwick North",-73.956582,40.652256
"Brooklyn,Bushwick South",-73.956582,40.652256
