Column name,Original value,Imputed Value
store_and_fwd_flag,N,0
store_and_fwd_flag,Y,1
rate_type,Group ride,0
rate_type,JFK,1
rate_type,Nassau or Westchester,2
rate_type,Negotiated fare,3
rate_type,Newark,4
rate_type,Standard rate,5
location,"Bronx,Allerton/Pelham Gardens",0
location,"Bronx,Bedford Park",1
location,"Bronx,Belmont",2
location,"Bronx,Bronx Park",3
location,"Bronx,Bronxdale",4
location,"Bronx,City Island",5
location,"Bronx,Claremont/Bathgate",6
location,"Bronx,Co-Op City",7
location,"Bronx,Country Club",8
location,"Bronx,Crotona Park",9
location,"Bronx,Crotona Park East",10
location,"Bronx,East Concourse/Concourse Village",11
location,"Bronx,East Tremont",12
location,"Bronx,Eastchester",13
location,"Bronx,Fordham South",14
location,"Bronx,Highbridge",15
location,"Bronx,Hunts Point",16
location,"Bronx,Kingsbridge Heights",17
location,"Bronx,Longwood",18
location,"Bronx,Melrose South",19
location,"Bronx,Morrisania/Melrose",20
location,"Bronx,Mott Haven/Port Morris",21
location,"Bronx,Mount Hope",22
location,"Bronx,Norwood",23
location,"Bronx,Parkchester",24
location,"Bronx,Pelham Bay",25
location,"Bronx,Pelham Bay Park",26
location,"Bronx,Pelham Parkway",27
location,"Bronx,Riverdale/North Riverdale/Fieldston",28
location,"Bronx,Schuylerville/Edgewater Park",29
location,"Bronx,Soundview/Bruckner",30
location,"Bronx,Soundview/Castle Hill",31
location,"Bronx,Spuyten Duyvil/Kingsbridge",32
location,"Bronx,University Heights/Morris Heights",33
location,"Bronx,Van Cortlandt Park",34
location,"Bronx,Van Cortlandt Village",35
location,"Bronx,Van Nest/Morris Park",36
location,"Bronx,West Concourse",37
location,"Bronx,West Farms/Bronx River",38
location,"Bronx,Westchester Village/Unionport",39
location,"Bronx,Williamsbridge/Olinville",40
location,"Bronx,Woodlawn/Wakefield",41
location,"Brooklyn,Bath Beach",42
location,"Brooklyn,Bay Ridge",43
location,"Brooklyn,Bedford",44
location,"Brooklyn,Bensonhurst East",45
location,"Brooklyn,Bensonhurst West",46
location,"Brooklyn,Boerum Hill",47
location,"Brooklyn,Borough Park",48
location,"Brooklyn,Brighton Beach",49
location,"Brooklyn,Brooklyn Heights",50
location,"Brooklyn,Brooklyn Navy Yard",51
location,"Brooklyn,Brownsville",52
location,"Brooklyn,Bushwick North",53
location,"Brooklyn,Bushwick South",54
location,"Brooklyn,Canarsie",55
location,"Brooklyn,Carroll Gardens",56
location,"Brooklyn,Clinton Hill",57
location,"Brooklyn,Cobble Hill",58
location,"Brooklyn,Columbia Street",59
location,"Brooklyn,Coney Island",60
location,"Brooklyn,Crown Heights North",61
location,"Brooklyn,Crown Heights South",62
location,"Brooklyn,Cypress Hills",63
location,"Brooklyn,DUMBO/Vinegar Hill",64
location,"Brooklyn,Downtown Brooklyn/MetroTech",65
location,"Brooklyn,Dyker Heights",66
location,"Brooklyn,East Flatbush/Farragut",67
location,"Brooklyn,East Flatbush/Remsen Village",68
location,"Brooklyn,East New York",69
location,"Brooklyn,East New York/Pennsylvania Avenue",70
location,"Brooklyn,East Williamsburg",71
location,"Brooklyn,Erasmus",72
location,"Brooklyn,Flatbush/Ditmas Park",73
location,"Brooklyn,Flatlands",74
location,"Brooklyn,Fort Greene",75
location,"Brooklyn,Gowanus",76
location,"Brooklyn,Gravesend",77
location,"Brooklyn,Green-Wood Cemetery",78
location,"Brooklyn,Greenpoint",79
location,"Brooklyn,Homecrest",80
location,"Brooklyn,Kensington",81
location,"Brooklyn,Madison",82
location,"Brooklyn,Manhattan Beach",83
location,"Brooklyn,Marine Park/Floyd Bennett Field",84
location,"Brooklyn,Marine Park/Mill Basin",85
location,"Brooklyn,Midwood",86
location,"Brooklyn,Ocean Hill",87
location,"Brooklyn,Ocean Parkway South",88
location,"Brooklyn,Park Slope",89
location,"Brooklyn,Prospect Heights",90
location,"Brooklyn,Prospect Park",91
location,"Brooklyn,Prospect-Lefferts Gardens",92
location,"Brooklyn,Red Hook",93
location,"Brooklyn,Sheepshead Bay",94
location,"Brooklyn,South Williamsburg",95
location,"Brooklyn,Starrett City",96
location,"Brooklyn,Stuyvesant Heights",97
location,"Brooklyn,Sunset Park East",98
location,"Brooklyn,Sunset Park West",99
location,"Brooklyn,Williamsburg (North Side)",100
location,"Brooklyn,Williamsburg (South Side)",101
location,"Brooklyn,Windsor Terrace",102
location,"EWR,Newark Airport",103
